UID Value,UID Name,UID Keyword,UID Type,Part,Deprecated
1.2.840.10008.1.1,Verification SOP Class,Verification,SOP Class,PS3.4 ,false
1.2.840.10008.1.2,Implicit VR Little Endian: Default Transfer Syntax for DICOM,ImplicitVRLittleEndian,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.1,Explicit VR Little Endian,ExplicitVRLittleEndian,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.1.99,Deflated Explicit VR Little Endian,DeflatedExplicitVRLittleEndian,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.2,Explicit VR Big Endian (Retired),ExplicitVRBigEndian,Transfer Syntax,PS3.5 (2011) ,true
1.2.840.10008.1.2.4.50,JPEG Baseline (Process 1): Default Transfer Syntax for Lossy JPEG 8 Bit Image Compression,JPEGBaseline8Bit,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.51,JPEG Extended (Process 2 & 4): Default Transfer Syntax for Lossy JPEG 12 Bit Image Compression (Process 4 only),JPEGExtended12Bit,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.52,JPEG Extended (Process 3 & 5) (Retired),JPEGExtended35,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.53,"JPEG Spectral Selection, Non-Hierarchical (Process 6 & 8) (Retired)",JPEGSpectralSelectionNonHierarchical68,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.54,"JPEG Spectral Selection, Non-Hierarchical (Process 7 & 9) (Retired)",JPEGSpectralSelectionNonHierarchical79,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.55,"JPEG Full Progression, Non-Hierarchical (Process 10 & 12) (Retired)",JPEGFullProgressionNonHierarchical1012,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.56,"JPEG Full Progression, Non-Hierarchical (Process 11 & 13) (Retired)",JPEGFullProgressionNonHierarchical1113,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.57,"JPEG Lossless, Non-Hierarchical (Process 14)",JPEGLossless,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.58,"JPEG Lossless, Non-Hierarchical (Process 15) (Retired)",JPEGLosslessNonHierarchical15,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.59,"JPEG Extended, Hierarchical (Process 16 & 18) (Retired)",JPEGExtendedHierarchical1618,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.60,"JPEG Extended, Hierarchical (Process 17 & 19) (Retired)",JPEGExtendedHierarchical1719,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.61,"JPEG Spectral Selection, Hierarchical (Process 20 & 22) (Retired)",JPEGSpectralSelectionHierarchical2022,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.62,"JPEG Spectral Selection, Hierarchical (Process 21 & 23) (Retired)",JPEGSpectralSelectionHierarchical2123,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.63,"JPEG Full Progression, Hierarchical (Process 24 & 26) (Retired)",JPEGFullProgressionHierarchical2426,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.64,"JPEG Full Progression, Hierarchical (Process 25 & 27) (Retired)",JPEGFullProgressionHierarchical2527,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.65,"JPEG Lossless, Hierarchical (Process 28) (Retired)",JPEGLosslessHierarchical28,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.66,"JPEG Lossless, Hierarchical (Process 29) (Retired)",JPEGLosslessHierarchical29,Transfer Syntax,PS3.5 (2001) ,true
1.2.840.10008.1.2.4.70,"JPEG Lossless, Non-Hierarchical, First-Order Prediction (Process 14 [Selection Value 1]): Default Transfer Syntax for Lossless JPEG Image Compression",JPEGLosslessSV1,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.80,JPEG-LS Lossless Image Compression,JPEGLSLossless,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.81,JPEG-LS Lossy (Near-Lossless) Image Compression,JPEGLSNearLossless,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.90,JPEG 2000 Image Compression (Lossless Only),JPEG2000Lossless,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.91,JPEG 2000 Image Compression,JPEG2000,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.92,JPEG 2000 Part 2 Multi-component Image Compression (Lossless Only),JPEG2000MCLossless,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.93,JPEG 2000 Part 2 Multi-component Image Compression,JPEG2000MC,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.94,JPIP Referenced,JPIPReferenced,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.95,JPIP Referenced Deflate,JPIPReferencedDeflate,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.100,MPEG2 Main Profile / Main Level,MPEG2MPML,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.101,MPEG2 Main Profile / High Level,MPEG2MPHL,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.102,MPEG-4 AVC/H.264 High Profile / Level 4.1,MPEG4HP41,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.103,MPEG-4 AVC/H.264 BD-compatible High Profile / Level 4.1,MPEG4HP41BD,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.104,MPEG-4 AVC/H.264 High Profile / Level 4.2 For 2D Video,MPEG4HP422D,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.105,MPEG-4 AVC/H.264 High Profile / Level 4.2 For 3D Video,MPEG4HP423D,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.106,MPEG-4 AVC/H.264 Stereo High Profile / Level 4.2,MPEG4HP42STEREO,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.107,HEVC/H.265 Main Profile / Level 5.1,HEVCMP51,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.4.108,HEVC/H.265 Main 10 Profile / Level 5.1,HEVCM10P51,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.5,RLE Lossless,RLELossless,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.6.1,RFC 2557 MIME encapsulation (Retired),RFC2557MIMEEncapsulation,Transfer Syntax,PS3.10 (2018b) ,true
1.2.840.10008.1.2.6.2,XML Encoding (Retired),XMLEncoding,Transfer Syntax,PS3.10 (2018b) ,true
1.2.840.10008.1.2.7.1,SMPTE ST 2110-20 Uncompressed Progressive Active Video,SMPTEST211020UncompressedProgressiveActiveVideo,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.7.2,SMPTE ST 2110-20 Uncompressed Interlaced Active Video,SMPTEST211020UncompressedInterlacedActiveVideo,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.2.7.3,SMPTE ST 2110-30 PCM Digital Audio,SMPTEST211030PCMDigitalAudio,Transfer Syntax,PS3.5 ,false
1.2.840.10008.1.3.10,Media Storage Directory Storage,MediaStorageDirectoryStorage,SOP Class,PS3.4 ,false
1.2.840.10008.1.4.1.1,Talairach Brain Atlas Frame of Reference,TalairachBrainAtlas,Well-known frame of reference,,false
1.2.840.10008.1.4.1.2,SPM2 T1 Frame of Reference,SPM2T1,Well-known frame of reference,,false
1.2.840.10008.1.4.1.3,SPM2 T2 Frame of Reference,SPM2T2,Well-known frame of reference,,false
1.2.840.10008.1.4.1.4,SPM2 PD Frame of Reference,SPM2PD,Well-known frame of reference,,false
1.2.840.10008.1.4.1.5,SPM2 EPI Frame of Reference,SPM2EPI,Well-known frame of reference,,false
1.2.840.10008.1.4.1.6,SPM2 FIL T1 Frame of Reference,SPM2FILT1,Well-known frame of reference,,false
1.2.840.10008.1.4.1.7,SPM2 PET Frame of Reference,SPM2PET,Well-known frame of reference,,false
1.2.840.10008.1.4.1.8,SPM2 TRANSM Frame of Reference,SPM2TRANSM,Well-known frame of reference,,false
1.2.840.10008.1.4.1.9,SPM2 SPECT Frame of Reference,SPM2SPECT,Well-known frame of reference,,false
1.2.840.10008.1.4.1.10,SPM2 GRAY Frame of Reference,SPM2GRAY,Well-known frame of reference,,false
1.2.840.10008.1.4.1.11,SPM2 WHITE Frame of Reference,SPM2WHITE,Well-known frame of reference,,false
1.2.840.10008.1.4.1.12,SPM2 CSF Frame of Reference,SPM2CSF,Well-known frame of reference,,false
1.2.840.10008.1.4.1.13,SPM2 BRAINMASK Frame of Reference,SPM2BRAINMASK,Well-known frame of reference,,false
1.2.840.10008.1.4.1.14,SPM2 AVG305T1 Frame of Reference,SPM2AVG305T1,Well-known frame of reference,,false
1.2.840.10008.1.4.1.15,SPM2 AVG152T1 Frame of Reference,SPM2AVG152T1,Well-known frame of reference,,false
1.2.840.10008.1.4.1.16,SPM2 AVG152T2 Frame of Reference,SPM2AVG152T2,Well-known frame of reference,,false
1.2.840.10008.1.4.1.17,SPM2 AVG152PD Frame of Reference,SPM2AVG152PD,Well-known frame of reference,,false
1.2.840.10008.1.4.1.18,SPM2 SINGLESUBJT1 Frame of Reference,SPM2SINGLESUBJT1,Well-known frame of reference,,false
1.2.840.10008.1.4.2.1,ICBM 452 T1 Frame of Reference,ICBM452T1,Well-known frame of reference,,false
1.2.840.10008.1.4.2.2,ICBM Single Subject MRI Frame of Reference,ICBMSingleSubjectMRI,Well-known frame of reference,,false
1.2.840.10008.1.4.3.1,IEC 61217 Fixed Coordinate System Frame of Reference,IEC61217FixedCoordinateSystem,Well-known frame of reference,PS3.3 ,false
1.2.840.10008.1.4.3.2,Standard Robotic-Arm Coordinate System Frame of Reference,StandardRoboticArmCoordinateSystem,Well-known frame of reference,PS3.3 ,false
1.2.840.10008.1.4.4.1,SRI24 Frame of Reference,SRI24,Well-known frame of reference,,false
1.2.840.10008.1.4.5.1,Colin27 Frame of Reference,Colin27,Well-known frame of reference,,false
1.2.840.10008.1.4.6.1,LPBA40/AIR Frame of Reference,LPBA40AIR,Well-known frame of reference,,false
1.2.840.10008.1.4.6.2,LPBA40/FLIRT Frame of Reference,LPBA40FLIRT,Well-known frame of reference,,false
1.2.840.10008.1.4.6.3,LPBA40/SPM5 Frame of Reference,LPBA40SPM5,Well-known frame of reference,,false
1.2.840.10008.1.5.1,Hot Iron Color Palette SOP Instance,HotIronPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.2,PET Color Palette SOP Instance,PETPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.3,Hot Metal Blue Color Palette SOP Instance,HotMetalBluePalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.4,PET 20 Step Color Palette SOP Instance,PET20StepPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.5,Spring Color Palette SOP Instance,SpringPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.6,Summer Color Palette SOP Instance,SummerPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.7,Fall Color Palette SOP Instance,FallPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.5.8,Winter Color Palette SOP Instance,WinterPalette,Well-known SOP Instance,PS3.6 ,false
1.2.840.10008.1.9,Basic Study Content Notification SOP Class (Retired),BasicStudyContentNotification,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.1.20,Papyrus 3 Implicit VR Little Endian (Retired),Papyrus3ImplicitVRLittleEndian,Transfer Syntax,(2015c),true
